name,type,contactPerson,phone,email,address,kraPin,paymentTermsDays,chargeVat,vatMode,openingBalance
ODOK RERA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
OJOLA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
OJWAYA COMPREHENSIVE SCHOOL,SCHOOL,,,,,,30,,,0
OKOLA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
OMINDO JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
ONYINYORE JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
OSENO JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
RACHARE JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
SAGAM PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
Shitsitswi,SCHOOL,,,,,,30,,,0
SHIVAGALA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
Sitabicha,SCHOOL,,,,,,30,,,0
ST FRANCIS ENYANYA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
ST. DENNIS MUNJITI PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
ST. Peter boys,SCHOOL,,,,,,30,,,0
ST.EUGINES JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
ST.FRANCIS ENYANYA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
UGAMBE PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
UHONYA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
ULUMBI PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
UTHANYA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
WALUKA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
WAMBUSA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
WAMILABI PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
WANDECHE JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
WANDECHE PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
WANDEGA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
WANGU JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
